status	base_mode	working_mode	base_blob	working_blob	path	upstream_change	default_decision
A	000000	100644	0000000000000000000000000000000000000000	0c05542d474858c1fa01c2132480be0bf28f4dd5	migrations/sqlite/000011_storage_source_usage.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	bb948ac8e04ada66ecac6f3b58e8a95039146c90	migrations/sqlite/000012_complimentary_entitlements.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	67bab74b1aeefb532262633e0f73928f2da6ed08	migrations/sqlite/000012_complimentary_entitlements.up.sql	no	preserve-local-addition
M	100644	100644	57cbbbbe9e4e9eb17faf7041319efa769113704d	f47b79e027a5a595c609ca835b20ce49812a6a18	migrations/versioned/000000_init.up.sql	no	preserve-local-modification
A	000000	100644	0000000000000000000000000000000000000000	4b23f52ca899856bc21b6c72ccd80259b7a4cdf9	migrations/versioned/000080_default_searxng_provider.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	9fdcdbe05affc0835b977ddaa5a59fdd2d54c38b	migrations/versioned/000080_default_searxng_provider.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	edff2e46aa2246b0396c2af80e1d6d3ab6d3e60b	migrations/versioned/000081_builtin_agent_model_defaults.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	bb2991644d66125f346e439de41aff59102fd287	migrations/versioned/000081_builtin_agent_model_defaults.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	3efe825699b8af286cd405c3d39aa7e47f398a0e	migrations/versioned/000082_platform_knowledge_base_defaults.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	796f2ff2c41581d0053c6d1de74420b58735da29	migrations/versioned/000082_platform_knowledge_base_defaults.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	43aaa7479199960ff8d3c123ecf21f4a4d6c290d	migrations/versioned/000083_consumer_plan_entitlements.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	197877d881efdb052c8d87684edf85954c6096a1	migrations/versioned/000083_consumer_plan_entitlements.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	b1bd5fdf3df06a36125c04c53656ada74bb6bf97	migrations/versioned/000084_consumer_chat_catalog.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	4a0be5e134aa95d2285efd78f239e170be3d003c	migrations/versioned/000084_consumer_chat_catalog.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	d8817acebad66ac887b773657374226938e888dc	migrations/versioned/000085_openrouter_credit_period.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	3426a9de36baeb0d01b13f68938da4e5cd9bdb02	migrations/versioned/000085_openrouter_credit_period.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	2a0b5cbd610bd39e21b5138cc7fef818fe8a29be	migrations/versioned/000086_paddle_billing_period.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	251366b3acc285984a0f1fd97d3d66d9e6534c5f	migrations/versioned/000086_paddle_billing_period.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	8584dbed11488ad6a71e85d0dc0b6ba800aecf4e	migrations/versioned/000087_paddle_current_period_end.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	2bc068b2e8da2239498eb0300bf79a982702360c	migrations/versioned/000087_paddle_current_period_end.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	5e010c4c1d3d706f2e5ce37e7179ef13fb30a8ab	migrations/versioned/000088_paddle_billing_operations.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	bd22951471dac4bc8ca4449eb945d96b2c9b9e92	migrations/versioned/000088_paddle_billing_operations.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	9cd3218eaa554c859de9a00f0f4ba4efedfdb4ba	migrations/versioned/000089_consumer_storage_quotas.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	f756fc98492f855befab5a0149fea7bad5ac4b71	migrations/versioned/000089_consumer_storage_quotas.up.sql	no	preserve-local-addition
